country,upwork_registration_status,upwork_freelancer_count,technology_proxy_respondents,proxy_respondents_using_at_least_one_tracked_stack,most_frequent_stacks,least_or_unused_stacks,data_quality_note,JavaScript/TypeScript_proxy_count,Python_proxy_count,PHP_proxy_count,Java_proxy_count,React_proxy_count,Node.js_proxy_count,WordPress_proxy_count,.NET/C#_proxy_count,Ruby/Rails_proxy_count,Go_proxy_count,Swift_proxy_count,Kotlin_proxy_count,Flutter_proxy_count,Data science/ML_proxy_count,DevOps/cloud_proxy_count
Afghanistan,Inferred in scope; verify at registration,Not publicly disclosed,56,45,DevOps/cloud (30); JavaScript/TypeScript (25); Python (25),"Lowest observed: Swift (3), Ruby/Rails (4), Flutter (5)",Proxy—low sample; not an Upwork headcount,25,25,15,12,11,10,6,13,4,7,3,5,5,8,30
Albania,Inferred in scope; verify at registration,Not publicly disclosed,49,41,DevOps/cloud (35); JavaScript/TypeScript (27); .NET/C# (17),Unused in sample: Flutter,Proxy—very low sample; not an Upwork headcount,27,9,16,16,14,11,5,17,1,5,1,4,0,7,35
Algeria,Inferred in scope; verify at registration,Not publicly disclosed,77,76,DevOps/cloud (57); JavaScript/TypeScript (54); Python (37),"Unused in sample: Ruby/Rails, Go",Proxy—low sample; not an Upwork headcount,54,37,20,13,31,28,9,16,0,0,1,7,12,24,57
Andorra,Inferred in scope; verify at registration,Not publicly disclosed,15,14,DevOps/cloud (10); JavaScript/TypeScript (9); Python (8),"Unused in sample: WordPress, Ruby/Rails",Proxy—very low sample; not an Upwork headcount,9,8,5,5,3,4,0,6,0,2,1,1,1,3,10
Angola,Inferred in scope; verify at registration,Not publicly disclosed,20,18,DevOps/cloud (16); JavaScript/TypeScript (11); .NET/C# (9),Unused in sample: Swift,Proxy—very low sample; not an Upwork headcount,11,9,4,5,4,7,3,9,1,1,0,2,2,9,16
Antigua and Barbuda,Inferred in scope; verify at registration,Not publicly disclosed,5,3,DevOps/cloud (3); Flutter (2); JavaScript/TypeScript (2),"Unused in sample: Python, React, Node.js, WordPress, .NET/C# (+5 more)",Proxy—very low sample; not an Upwork headcount,2,0,1,1,0,0,0,0,0,0,0,0,2,0,3
Argentina,Inferred in scope; verify at registration,Not publicly disclosed,345,334,DevOps/cloud (277); JavaScript/TypeScript (239); Python (162),"Lowest observed: Swift (10), Flutter (19), Kotlin (30)",Proxy—medium sample; not an Upwork headcount,239,162,74,97,132,128,35,82,33,67,10,30,19,78,277
Armenia,Inferred in scope; verify at registration,Not publicly disclosed,58,55,DevOps/cloud (44); JavaScript/TypeScript (32); Python (23),"Lowest observed: Ruby/Rails (1), WordPress (1), Flutter (2)",Proxy—low sample; not an Upwork headcount,32,23,5,13,15,19,1,14,1,9,4,6,2,14,44
Australia,Inferred in scope; verify at registration,Not publicly disclosed,1260,1230,DevOps/cloud (1018); JavaScript/TypeScript (873); Python (654),"Lowest observed: Flutter (62), Swift (71), Kotlin (86)",Proxy—medium sample; not an Upwork headcount,873,654,183,285,423,420,121,480,88,177,71,86,62,348,1018
Austria,Inferred in scope; verify at registration,Not publicly disclosed,791,768,DevOps/cloud (633); JavaScript/TypeScript (551); Python (407),"Lowest observed: Ruby/Rails (35), Swift (35), Flutter (59)",Proxy—medium sample; not an Upwork headcount,551,407,164,285,197,247,93,268,35,93,35,117,59,248,633
